Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2016,Tot_Dsg_Unts_2016,Tot_Clms_2016,Avg_Spnd_Per_Dsg_Unt_Wghtd_2016,Avg_Spnd_Per_Clm_2016,Outlier_Flag_2016,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Chg_Avg_Spnd_Per_Dsg_Unt_19_20,CAGR_Avg_Spnd_Per_Dsg_Unt_16_20
Benzonatate,Benzonatate,1,"Major Pharmaceu","$99,692.60","160,638","5,052",$0.62,$19.73,0,"$50,024.69","142,980","4,599",$0.35,$10.88,0,"$46,733.16","131,212","4,400",$0.36,$10.62,0,"$62,004.40","$141,810.50","5,124",$0.44,$12.10,0,"$69,419.76","231,808","7,523",$0.30,$9.23,0,-31.51%,-16.65%
Benzonatate,Benzonatate,1,"Epic Pharma LLC",,,,,,,,,,,,,,,,,,,"$58,124.35","$206,938.00","6,070",$0.28,$9.58,0,"$1,060,880.17","3,926,146.9","108,889",$0.27,$9.74,0,-3.25%,-3.25%
Benzonatate,Benzonatate,1,"Caraco/Sun Phar","$109,274.10","299,222","8,258",$0.36,$13.23,0,"$53,104.78","154,051","4,320",$0.34,$12.29,0,"$42,830.36","147,278","4,264",$0.29,$10.04,0,"$44,478.31","$149,950.00","4,376",$0.30,$10.16,0,"$21,531.29","86,250","2,507",$0.25,$8.59,0,-15.52%,-8.97%
Benzonatate,Benzonatate,1,"Camber Pharmace",,,,,,,,,,,,,,,,,,,"$50,338.22","$145,660.00","4,579",$0.35,$10.99,0,"$217,065.57","700,247","20,878",$0.31,$10.40,0,-10.27%,-10.27%
Benzonatate,Benzonatate,1,"Bionpharma Inc.","$1,661.76","3,326",105,$0.50,$15.83,1,"$827,199.91","2,198,577.45","62,822",$0.38,$13.17,0,"$2,509,787.13","7,750,114","226,977",$0.33,$11.06,0,"$4,148,806.39","$14,281,014.00","432,604",$0.29,$9.59,0,"$1,974,649.95","7,139,666","205,674",$0.28,$9.60,0,-4.86%,-13.74%
Benzonatate,Benzonatate,1,"Banner Life Sci","$855,970.34","2,133,031","59,802",$0.40,$14.31,0,"$540,129.98","1,524,361","43,040",$0.35,$12.55,0,"$25,242.80","83,136","2,365",$0.31,$10.67,0,"$14,947.85","$41,001.00",943,$0.36,$15.85,0,$147.17,524,14,$0.28,$10.51,1,-24.40%,-9.04%
Benzonatate,Benzonatate,1,"Ascend Laborato","$9,156,100.06","23,900,166.203","732,687",$0.38,$12.50,0,"$9,008,416.66","26,903,718.35","835,088",$0.34,$10.79,0,"$7,784,562.49","26,300,912.6","822,375",$0.30,$9.47,0,"$6,811,231.53","$24,094,621.20","764,667",$0.28,$8.91,0,"$3,731,487.85","14,672,741","454,026",$0.25,$8.22,0,-10.05%,-9.76%
Benzonatate,Benzonatate,1,"Amneal Pharmace","$3,192,782.64","8,977,651.4","264,652",$0.36,$12.06,0,"$2,613,432.41","7,400,775.618","222,773",$0.35,$11.73,0,"$2,080,269.87","6,353,789","198,359",$0.33,$10.49,0,"$846,849.38","$2,534,355.29","80,371",$0.33,$10.54,0,"$78,713.86","295,584","8,242",$0.27,$9.55,0,-20.05%,-6.97%
Benzonatate,Benzonatate,1,"Alembic Pharmac",,,,,,,,,,,,,,,,,,,"$130,313.13","$493,436.00","14,914",$0.26,$8.74,0,"$803,980.58","3,042,466","86,460",$0.26,$9.30,0,0.16%,0.16%
Benzonatate,Benzonatate,1,"Aiping Pharmace",,,,,,,,,,,,,,,,,,,,,,,,,"$7,059.69","22,438",585,$0.31,$12.07,1,,0.00%
Benzonatate,Benzonatate,1,Ahp,"$11,895.63","7,680.002",769,$1.55,$15.47,1,"$75,153.03","5,826.1",952,$12.90,$78.94,1,"$4,749.82","3,642",798,$1.30,$5.95,1,"$2,790.35","$1,676.00",972,$1.66,$2.87,0,"$4,003.95","3,366",481,$1.19,$8.32,0,-28.55%,-6.39%
"Benztropine Mesylate*","Benztropine Mesylate",13,Overall,"$3,043,506.65","15,435,120.694","306,271",$0.32,$9.94,0,"$19,430,488.74","87,789,513.365","1,754,779",$0.25,$11.07,0,"$19,055,527.15","85,428,317.552","1,709,349",$0.28,$11.15,0,"$19,130,551.48","$84,251,139.28","1,686,725",$0.29,$11.34,0,"$17,711,708.83","82,398,548.09","1,622,364",$0.26,$10.92,0,3.48%,-5.01%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Zydus Pharmaceu","$1,317.55",58,24,$22.72,$54.90,1,,,,,,,"$3,757.82",164,42,$22.91,$89.47,1,"$32,808.79","$1,286.00",471,$25.51,$69.66,1,"$42,531.97","1,649.5",554,$25.78,$76.77,0,1.07%,3.22%
"Benztropine Mesylate*","Benztropine Mesylate",1,West-Ward/Hikma,,,,,,,,,,,,,"$278,993.06","8,304.5","2,361",$33.60,$118.17,1,"$220,046.78","$6,840.50","2,115",$32.17,$104.04,1,"$161,219.83","5,054","1,557",$31.90,$103.55,1,-0.84%,-2.56%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Upsher Smith La",,,,,,,"$2,412,387.75","11,537,234","231,858",$0.21,$10.40,0,"$345,345.59","1,606,898","31,804",$0.22,$10.86,0,"$75,836.63","$342,740.00","6,906",$0.22,$10.98,0,"$4,522.27","21,849",452,$0.20,$10.01,1,-7.53%,-0.64%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Qualitest/Par P",,,,,,,"$7,993,086.74","35,445,762.871","704,511",$0.23,$11.35,0,"$7,719,818.93","35,744,694.34","707,196",$0.22,$10.92,0,"$8,311,042.55","$37,407,953.95","738,098",$0.22,$11.26,0,"$6,900,851.98","32,271,812.05","626,845",$0.21,$11.01,0,-3.73%,-1.76%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Major Pharmaceu","$3,445.35","10,179",215,$0.34,$16.02,0,"$9,339.76","19,421.9",420,$0.48,$22.24,0,"$1,375.29","2,341",64,$0.59,$21.49,1,$573.24,"$2,772.00",61,$0.21,$9.40,1,"$3,409.01","17,796",486,$0.19,$7.01,0,-7.85%,-13.23%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Leading Pharma","$109,579.78","532,604","9,454",$0.21,$11.59,0,"$2,979,728.47","14,069,062.419","273,375",$0.21,$10.90,0,"$3,679,790.76","17,430,491.042","340,790",$0.21,$10.80,0,"$3,765,971.69","$17,635,445.00","343,146",$0.21,$10.97,0,"$6,691,917.51","32,272,054.04","630,944",$0.21,$10.61,0,-2.91%,0.18%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Excellium Pharm","$535,719.84","2,799,410.69","52,981",$0.19,$10.11,0,"$131,067.19","634,814","12,564",$0.21,$10.43,0,"$70,330.25","332,998","6,498",$0.21,$10.82,0,"$28,045.03","$125,350.00","2,555",$0.22,$10.98,0,"$13,180.46","77,009","1,777",$0.17,$7.42,0,-23.62%,-2.81%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Cipla USA, Inc.","$290,111.11","1,592,927.5","31,421",$0.18,$9.23,0,"$1,757,012.34","8,311,122.569","168,857",$0.21,$10.41,0,"$563,975.58","2,652,551.57","53,211",$0.21,$10.60,0,"$120,751.30","$533,402.50","10,732",$0.23,$11.25,0,"$313,654.37","1,877,404","34,747",$0.17,$9.03,0,-26.18%,-2.13%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Camber Pharmace","$460,501.36","2,651,447","53,786",$0.17,$8.56,0,"$35,015.90","175,381","3,651",$0.20,$9.59,0,"$5,390.03","13,540",281,$0.40,$19.18,1,"$3,443.74","$8,568.00",178,$0.40,$19.35,1,"$5,002.48","27,390.5",539,$0.18,$9.28,1,-54.48%,1.28%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Bayshore Pharma","$1,471,558.18","7,760,913.5","154,417",$0.19,$9.53,0,"$3,953,242.62","17,518,316.106","355,818",$0.23,$11.11,0,"$6,286,808.60","27,610,519","565,110",$0.23,$11.12,0,"$6,490,852.74","$28,167,216.33","580,811",$0.23,$11.18,0,"$3,527,431.59","15,815,238.5","323,449",$0.22,$10.91,0,-3.19%,4.14%
"Benztropine Mesylate*","Benztropine Mesylate",1,"App/Fresenius K","$10,270.67",346,105,$29.68,$97.82,1,"$55,259.37","1,383.5",431,$39.94,$128.21,1,"$47,927.08","1,663",402,$28.82,$119.22,0,"$42,329.87","$1,144.50",565,$36.99,$74.92,1,"$27,079.20",822.5,339,$32.92,$79.88,1,-10.98%,2.62%
"Benztropine Mesylate*","Benztropine Mesylate",1,"Akorn Inc.","$115,139.74","4,449.004","1,439",$25.88,$80.01,0,"$78,835.54","2,532.5",953,$31.13,$82.72,1,"$41,851.81","1,455",521,$28.76,$80.33,1,"$32,035.20",$828.00,351,$38.69,$91.27,1,"$17,067.48",581,250,$29.38,$68.27,1,-24.07%,3.22%
"Benztropine Mesylate*","Benztropine Mesylate",1,Ahp,"$45,863.07","82,786","2,429",$0.56,$18.88,0,"$25,513.06","74,482.5","2,341",$0.34,$10.90,0,"$10,162.35","22,698.1","1,069",$0.47,$9.51,0,"$6,813.92","$17,592.50",736,$0.39,$9.26,0,"$3,840.68","9,888",425,$0.43,$9.04,0,12.73%,-6.16%
Beovu,Brolucizumab-Dbll,1,Overall,,,,,,,,,,,,,,,,,,,"$19,118.40",$47.70,34,$400.81,$562.31,1,"$1,590,849.51",102.811,"1,198","$15,473.53","$1,327.92",0,3760.61%,3760.61%
Beovu,Brolucizumab-Dbll,1,Novartis,,,,,,,,,,,,,,,,,,,"$19,118.40",$47.70,34,$400.81,$562.31,1,"$1,590,849.51",102.811,"1,198","$15,473.53","$1,327.92",0,3760.61%,3760.61%
Bepreve,"Bepotastine Besilate",1,Overall,,,,,,,,,,,,,"$1,404,600.53","37,240","5,453",$37.72,$257.58,0,"$1,386,667.93","$33,461.00","5,186",$41.44,$267.39,0,"$1,356,539.49","30,672","4,839",$44.23,$280.33,0,9.87%,8.29%
Bepreve,"Bepotastine Besilate",1,Valeant/Bausch,,,,,,,,,,,,,"$1,404,600.53","37,240","5,453",$37.72,$257.58,0,"$1,386,667.93","$33,461.00","5,186",$41.44,$267.39,0,"$1,356,539.49","30,672","4,839",$44.23,$280.33,0,6.72%,8.29%
Berinert,"C1 Esterase Inhibitor",1,Overall,,,,,,,,,,,,,,,,,,,,,,,,,"$5,277,643.75","2,039.8",369,"$2,584.48","$14,302.56",0,,0.00%
Berinert,"C1 Esterase Inhibitor",1,"CSL Behring LLC",,,,,,,,,,,,,,,,,,,,,,,,,"$5,277,643.75","2,039.8",369,"$2,584.48","$14,302.56",0,,0.00%
Besivance,"Besifloxacin HCl",1,Overall,,,,,,,,,,,,,"$596,092.69","18,902","3,746",$31.54,$159.13,0,"$584,292.88","$17,809.00","3,538",$32.81,$165.15,0,"$460,332.09","13,403","2,665",$34.35,$172.73,0,4.68%,4.36%
Besivance,"Besifloxacin HCl",1,Valeant/Bausch,,,,,,,,,,,,,"$596,092.69","18,902","3,746",$31.54,$159.13,0,"$584,292.88","$17,809.00","3,538",$32.81,$165.15,0,"$460,332.09","13,403","2,665",$34.35,$172.73,0,4.68%,4.36%
Besponsa,"Inotuzumab Ozogamicin",1,Overall,,,,,,,"$507,605.35",50.6,28,"$10,031.73","$18,128.76",1,"$1,929,909.72",123.328,104,"$15,648.59","$18,556.82",1,"$4,612,037.73",$319.54,206,"$14,433.23","$22,388.53",1,"$6,227,505.52",306.632,274,"$20,309.38","$22,728.12",0,40.71%,26.50%
Besponsa,"Inotuzumab Ozogamicin",1,Wyeth/Pfizer,,,,,,,"$507,605.35",50.6,28,"$10,031.73","$18,128.76",1,"$1,929,909.72",123.328,104,"$15,648.59","$18,556.82",1,"$4,612,037.73",$319.54,206,"$14,433.23","$22,388.53",1,"$6,227,505.52",306.632,274,"$20,309.38","$22,728.12",0,40.71%,26.50%
"Beta Carotene",Beta-Carotene,1,Overall,$249.27,"3,138",68,$0.08,$3.67,1,$667.85,"9,492",137,$0.07,$4.87,1,$834.24,"11,878",173,$0.07,$4.82,1,$829.48,"$11,277.00",193,$0.07,$4.30,1,$356.26,"3,539",67,$0.10,$5.32,1,36.86%,6.10%
"Beta Carotene",Beta-Carotene,1,Rugby,$249.27,"3,138",68,$0.08,$3.67,1,$667.85,"9,492",137,$0.07,$4.87,1,$834.24,"11,878",173,$0.07,$4.82,1,$829.48,"$11,277.00",193,$0.07,$4.30,1,$356.26,"3,539",67,$0.10,$5.32,1,36.86%,6.10%
Betadine,Povidone-Iodine,1,Overall,,,,,,,,,,,,,,,,,,,"$9,055.89","$1,311.05",281,$6.91,$32.23,0,"$11,254.33","1,491.74",239,$7.54,$47.09,1,9.22%,9.22%
Betadine,Povidone-Iodine,1,"Alcon Laborator",,,,,,,,,,,,,,,,,,,"$9,055.89","$1,311.05",281,$6.91,$32.23,0,"$11,254.33","1,491.74",239,$7.54,$47.09,1,9.22%,9.22%
"Betamethasone Diprop Augmented","Betamethasone Dipropionate",1,Overall,,,,,,,,,,,,,"$146,233.94","86,643.953","1,964",$1.69,$74.46,0,"$149,717.62","$78,900.00","1,857",$1.90,$80.62,0,"$160,342.65","81,505","1,885",$1.97,$85.06,0,12.43%,7.96%
"Betamethasone Diprop Augmented","Betamethasone Dipropionate",1,"Taro Pharm USA",,,,,,,,,,,,,"$146,233.94","86,643.953","1,964",$1.69,$74.46,0,"$149,717.62","$78,900.00","1,857",$1.90,$80.62,0,"$160,342.65","81,505","1,885",$1.97,$85.06,0,3.67%,7.96%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",11,Overall,,,,,,,,,,,,,"$5,845,581.74","6,093,445.304","130,879",$0.92,$44.66,0,"$5,687,071.23","$6,154,665.88","135,544",$0.88,$41.96,0,"$4,409,208.34","5,639,098.736","127,214",$0.74,$34.66,0,-3.85%,-10.23%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,Versapharm/Akor,,,,,,,,,,,,,,,,,,,,,,,,,"$7,602.45","8,684",142,$0.88,$53.54,1,,0.00%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Teligent Pharma",,,,,,,,,,,,,"$101,419.25","70,830","1,285",$1.45,$78.93,0,"$806,364.18","$535,897.52","10,931",$1.51,$73.77,0,"$1,110,616.49","842,791.155","17,363",$1.31,$63.96,0,-13.23%,-4.99%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Taro Pharm USA",,,,,,,,,,,,,"$956,618.94","1,462,525.089","30,399",$0.61,$31.47,0,"$813,790.31","$1,349,507.56","29,486",$0.56,$27.60,0,"$519,922.00","1,219,946.457","27,446",$0.39,$18.94,0,-29.72%,-19.87%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,Sandoz,,,,,,,,,,,,,"$239,890.14","183,523.4","3,905",$1.31,$61.43,0,"$473,038.97","$523,199.00","10,998",$0.90,$43.01,0,"$237,368.48","399,911","7,755",$0.59,$30.61,0,-34.35%,-32.61%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Prasco Labs",,,,,,,,,,,,,"$2,283,600.10","1,547,925.2","30,402",$1.48,$75.11,0,"$1,793,392.16","$1,127,673.00","23,089",$1.59,$77.67,0,"$1,092,939.53","795,308","16,948",$1.37,$64.49,0,-13.59%,-3.48%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Perrigo Co.",,,,,,,,,,,,,"$297,158.48","865,077.675","20,547",$0.34,$14.46,0,"$192,370.03","$888,496.80","21,749",$0.22,$8.85,0,"$155,086.17","782,161.114","20,035",$0.20,$7.74,0,-8.42%,-24.02%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Mckesson Packag",,,,,,,,,,,,,,,,,,,,,,,,,"$4,472.62","3,000",97,$1.49,$46.11,1,,0.00%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Lupin Pharmaceu",,,,,,,,,,,,,,,,,,,,,,,,,"$113,960.74","79,107.5","1,666",$1.44,$68.40,0,,0.00%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,"Glenmark Pharma",,,,,,,,,,,,,"$432,382.02","972,242.89","23,209",$0.44,$18.63,0,"$361,519.99","$867,175.01","20,395",$0.42,$17.73,0,"$242,009.20","779,011.01","19,683",$0.31,$12.30,0,-25.48%,-16.42%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,Fougera/Sandoz,,,,,,,,,,,,,"$363,147.99","287,842.004","5,633",$1.19,$64.47,0,"$333,566.62","$334,086.00","6,904",$0.91,$48.31,0,"$276,215.79","317,167.5","6,587",$0.78,$41.93,0,-13.70%,-18.83%
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc",1,Actavis/Teva,,,,,,,,,,,,,"$1,171,364.82","703,479.046","15,499",$1.67,$75.58,0,"$913,028.97","$528,631.00","11,992",$1.73,$76.14,0,"$649,014.87","412,011","9,492",$1.58,$68.37,0,-8.80%,-2.74%
"Betamethasone Dipropionate","Betamethasone Dipropionate",9,Overall,"$9,341,698.29","6,874,756.363","155,448",$1.42,$60.10,0,"$12,640,584.15","8,446,526.548","193,162",$1.55,$65.44,0,"$14,011,139.25","10,782,609.097","247,394",$1.34,$56.63,0,"$15,114,804.32","$11,480,580.47","254,693",$1.37,$59.35,0,"$9,890,497.77","8,451,529.007","193,712",$1.24,$51.06,0,2.47%,-3.33%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,"Cosette Pharmac",,,,,,,,,,,,,,,,,,,"$1,096,978.82","$1,147,977.50","24,051",$1.06,$45.61,0,"$935,923.38","1,043,434.604","22,524",$0.98,$41.55,0,-7.55%,-7.55%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,Actavis/Teva,,,,,,,,,,,,,"$2,140,122.11","1,709,670.864","40,674",$1.25,$52.62,0,"$1,770,520.45","$1,307,597.47","25,751",$1.36,$68.76,0,"$409,257.90","366,388.718","8,992",$1.12,$45.51,0,-17.37%,-5.36%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,"Zydus Pharmaceu",,,,,,,,,,,,,,,,,,,"$188,415.34","$162,336.00","3,744",$1.16,$50.32,0,"$509,956.36","483,529.611","11,207",$1.05,$45.50,0,-9.13%,-9.13%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,"Viona Pharmaceu",,,,,,,,,,,,,,,,,,,,,,,,,"$44,648.26","23,780",571,$1.88,$78.19,0,,0.00%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,Versapharm/Akor,,,,,,,,,,,,,"$6,482.16","12,240",192,$0.53,$33.76,0,"$49,922.47","$104,585.00","1,667",$0.48,$29.95,0,"$43,252.46","101,130","1,633",$0.43,$26.49,0,-10.40%,-10.13%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,"Taro Pharm USA","$3,129,038.29","2,151,211.128","54,518",$1.45,$57.39,0,"$3,216,898.73","2,187,164.034","55,025",$1.47,$58.46,0,"$2,821,711.30","2,414,759.478","59,664",$1.17,$47.29,0,"$2,846,834.00","$2,348,068.05","58,351",$1.21,$48.79,0,"$1,922,871.51","1,718,860.736","43,632",$1.12,$44.07,0,-7.73%,-6.33%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,"Perrigo Co.","$459,191.28","890,174.27","13,845",$0.52,$33.17,0,"$417,483.14","803,591.016","12,350",$0.52,$33.80,0,"$395,842.72","839,215.2","12,853",$0.47,$30.80,0,"$370,049.93","$794,153.26","12,362",$0.47,$29.93,0,"$371,831.61","845,334","13,169",$0.44,$28.24,0,-5.60%,-3.91%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,"Northstar Rx Ll",,,,,,,,,,,,,,,,,,,,,,,,,"$110,898.83","109,416","2,615",$1.01,$42.41,0,,0.00%
"Betamethasone Dipropionate","Betamethasone Dipropionate",1,Fougera/Sandoz,"$5,753,468.72","3,833,370.965","87,085",$1.55,$66.07,0,"$9,006,202.28","5,455,771.498","125,787",$1.69,$71.60,0,"$8,646,980.96","5,806,723.555","134,011",$1.52,$64.52,0,"$8,792,083.31","$5,615,863.19","128,767",$1.61,$68.28,0,"$5,541,857.46","3,759,655.338","89,369",$1.54,$62.01,0,-3.99%,-0.11%
"Betamethasone Sod Phos-Acetate","Betamethasone Acetate,Sod Phos",3,Overall,,,,,,,,,,,,,"$6,248,604.15","432,653.55","192,564",$14.44,$32.45,1,"$5,196,898.21","$427,307.21","195,174",$12.18,$26.63,1,"$4,371,770.80","390,746.065","169,132",$11.21,$25.85,1,-7.97%,-11.89%
"Betamethasone Sod Phos-Acetate","Betamethasone Acetate,Sod Phos",1,"Exela Pharma Sc",,,,,,,,,,,,,,,,,,,"$141,858.35","$15,169.50","5,561",$9.35,$25.51,1,"$404,599.70","39,548.812","13,813",$10.23,$29.29,1,9.40%,9.40%
"Betamethasone Sod Phos-Acetate","Betamethasone Acetate,Sod Phos",1,"American Regent",,,,,,,,,,,,,,,,,,,,,,,,,"$9,696.03","1,257.8",428,$7.71,$22.65,1,,0.00%
"Betamethasone Sod Phos-Acetate","Betamethasone Acetate,Sod Phos",1,"Amer. Regent",,,,,,,,,,,,,"$6,248,604.15","432,653.55","192,564",$14.44,$32.45,1,"$5,055,039.86","$412,137.71","189,613",$12.27,$26.66,1,"$3,957,475.07","349,939.453","154,891",$11.31,$25.55,1,-7.80%,-11.51%
"Betamethasone Valerate","Betamethasone Valerate",9,Overall,"$4,001,640.31","4,237,490.436","97,391",$0.87,$41.09,0,"$3,913,477.99","4,359,249.286","102,205",$0.85,$38.29,0,"$4,757,671.00","6,090,520.019","145,973",$0.76,$32.59,0,"$5,027,614.64","$6,315,726.91","153,109",$0.77,$32.84,0,"$4,233,442.80","5,766,300.281","143,043",$0.72,$29.60,0,1.08%,-4.71%
"Betamethasone Valerate","Betamethasone Valerate",1,"Taro Pharm USA","$642,876.81","1,010,947.485","26,123",$0.64,$24.61,0,"$766,277.30","1,054,982.762","27,172",$0.71,$28.20,0,"$1,343,468.24","1,688,013.78","43,455",$0.77,$30.92,0,"$1,260,999.60","$1,521,377.97","41,174",$0.81,$30.63,0,"$1,051,337.89","1,411,553.118","38,781",$0.73,$27.11,0,-10.07%,3.42%
"Betamethasone Valerate","Betamethasone Valerate",1,Sandoz,"$690,702.78","848,701.83","21,738",$0.81,$31.77,0,"$600,647.99","797,888.545","21,540",$0.75,$27.89,0,"$953,736.66","1,372,353.798","35,558",$0.69,$26.82,0,"$1,008,010.63","$1,452,008.33","37,870",$0.69,$26.62,0,"$986,779.51","1,442,445.621","37,932",$0.68,$26.01,0,-1.46%,-4.25%
"Betamethasone Valerate","Betamethasone Valerate",1,"STI Pharma, LLC","$306,798.72","371,811","5,849",$0.83,$52.45,0,"$279,877.00","354,054","5,621",$0.79,$49.79,0,"$224,427.27","316,736.892","5,080",$0.71,$44.18,0,"$210,254.39","$284,103.80","4,589",$0.74,$45.82,0,"$222,134.20","307,198.6","4,881",$0.72,$45.51,0,-2.29%,-3.25%
"Betamethasone Valerate","Betamethasone Valerate",1,"Perrigo Co.","$694,538.31","154,232","1,792",$4.50,$387.58,0,"$388,502.97","91,830","1,097",$4.23,$354.15,0,"$109,198.39","34,450",385,$3.17,$283.63,0,"$272,051.60","$105,550.00","1,008",$2.58,$269.89,0,"$100,137.34","55,400",549,$1.81,$182.40,0,-29.87%,-20.40%
"Betamethasone Valerate","Betamethasone Valerate",1,Mylan,,,,,,,"$83,781.57","22,090",249,$3.79,$336.47,0,"$115,966.64","36,100",395,$3.21,$293.59,0,"$67,806.96","$28,800.00",311,$2.35,$218.03,0,"$58,388.38","28,850",303,$2.02,$192.70,0,-14.04%,-18.89%
"Betamethasone Valerate","Betamethasone Valerate",1,"Ingenus Pharmac",,,,,,,"$56,567.17","13,100",176,$4.32,$321.40,0,"$91,708.81","29,150",383,$3.15,$239.45,0,"$67,316.28","$24,850.00",315,$2.71,$213.70,0,"$63,828.39","27,780",373,$2.30,$171.12,0,-15.18%,-18.97%
"Betamethasone Valerate","Betamethasone Valerate",1,Fougera/Sandoz,"$1,666,723.69","1,851,798.121","41,889",$0.89,$39.79,0,"$1,737,823.99","2,025,303.979","46,350",$0.87,$37.49,0,"$1,518,665.34","2,066,259.898","46,539",$0.74,$32.63,0,"$1,096,213.14","$1,428,253.22","30,933",$0.77,$35.44,0,"$787,622.25","1,117,685.673","23,473",$0.70,$33.55,0,-8.80%,-5.72%
"Betamethasone Valerate","Betamethasone Valerate",1,"Cosette Pharmac",,,,,,,,,,,,,,,,,,,"$944,600.02","$1,323,370.60","32,931",$0.71,$28.68,0,"$901,163.67","1,286,173.547","33,857",$0.70,$26.62,0,-1.80%,-1.80%
"Betamethasone Valerate","Betamethasone Valerate",1,Actavis/Teva,,,,,,,,,,,,,"$400,499.65","547,455.651","14,178",$0.74,$28.25,0,"$100,362.02","$147,412.99","3,978",$0.69,$25.23,0,"$62,051.17","89,213.722","2,894",$0.70,$21.44,0,1.25%,-2.61%
Betapace,"Sotalol HCl",1,Overall,,,,,,,"$21,661.13","1,022",14,$22.09,"$1,547.22",1,"$22,730.42","1,444.32",49,$12.17,$463.89,1,"$40,633.35","$1,811.52",69,$15.79,$588.89,1,"$6,558.05",340,18,$15.31,$364.34,1,29.73%,-11.51%
Betapace,"Sotalol HCl",1,"Covis Pharma",,,,,,,"$21,661.13","1,022",14,$22.09,"$1,547.22",1,"$22,730.42","1,444.32",49,$12.17,$463.89,1,"$40,633.35","$1,811.52",69,$15.79,$588.89,1,"$6,558.05",340,18,$15.31,$364.34,1,-3.04%,-11.51%
"Betapace Af","Sotalol HCl",1,Overall,,,,,,,"$11,381.75","1,080",18,$10.54,$632.32,1,"$15,302.57","1,590",28,$9.20,$546.52,1,"$17,591.59","$1,125.00",23,$14.21,$764.85,1,"$3,701.05",330,11,$11.22,$336.46,1,54.42%,2.10%
"Betapace Af","Sotalol HCl",1,"Covis Pharma",,,,,,,"$11,381.75","1,080",18,$10.54,$632.32,1,"$15,302.57","1,590",28,$9.20,$546.52,1,"$17,591.59","$1,125.00",23,$14.21,$764.85,1,"$3,701.05",330,11,$11.22,$336.46,1,-21.05%,2.10%
Betaseron,"Interferon Beta-1b",1,Overall,"$39,599,935.75","91,504","6,690",$432.77,"$5,919.27",0,"$34,697,532.57","71,852","5,289",$482.90,"$6,560.32",0,"$30,458,741.22","59,058","4,373",$515.74,"$6,965.18",0,"$25,728,433.12","$45,424.00","3,395",$566.41,"$7,578.33",0,"$21,684,670.17","37,632.318","2,829",$576.22,"$7,665.14",0,9.82%,7.42%
Betaseron,"Interferon Beta-1b",1,"Bayer,Pharm Div","$39,599,935.75","91,504","6,690",$432.77,"$5,919.27",0,"$34,697,532.57","71,852","5,289",$482.90,"$6,560.32",0,"$30,458,741.22","59,058","4,373",$515.74,"$6,965.18",0,"$25,728,433.12","$45,424.00","3,395",$566.41,"$7,578.33",0,"$21,684,670.17","37,632.318","2,829",$576.22,"$7,665.14",0,1.73%,7.42%
